,lat,long
cerrillos,"-33.4833333","-70.7"
cerro navia,"-33.416667","-70.716667"
conchali,"-33.35","-70.616667"
el bosque,"-33.566667","-70.7"
estacion central,"-33.451944","-70.678889"
huechuraba,"-33.35","-70.666667"
independencia,"-33.416667","-70.633333"
la cisterna,"-33.534833","-70.664056"
la florida,"-33.55","-70.566667"
la granja,"-33.543056","-70.631944"
la pintana,"-33.583333","-70.616667"
la reina,"-33.45","-70.55"
las condes,"-33.416667","-70.583333"
lo barnechea,"-33.35","-70.516667"
lo espejo,"-33.533333","-70.716667"
lo prado,"-33.433333","-70.716667"
macul,"-33.5","-70.566667"
maipu,-33.516667,"-70.766667"
nunoa,"-33.466667","-70.6"
pedro aguirre cerda,"-33.466667","-70.633333"
penalolen,"-33.483333","-70.533333"
providencia,"-33.433333","-70.616667"
pudahuel,"-33.433333","-70.716667"
quilicura,"-33.366667","-70.75"
quinta normal,"-33.45","-70.7"
recoleta,"-33.416667","-70.65"
renca,"-33.4","-70.733333"
san joaquin,"-33.5","-70.616667"
san miguel,"-33.5","-70.666667"
san ramon,"-33.54279","-70.64383"
santiago,"-33.45","-70.666667"
vitacura,"-33.4","-70.6"
