Numero Comuna,Comuna,Comunas Vetadas
1,Cerrillos,"2,3,4,6,7,8,9,10,11,12,13,14,16,17,19,21,22,23,24,25,26,27,28,29,30,31,32"
2,Cerro Navia,"1,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,24,26,28,29,30,31,32"
3,Conchali,"1,2,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,28,29,30,31,32"
4,El Bosque,"1,2,3,5,6,7,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32"
5,Estacion central,"2,3,4,6,7,8,9,10,11,12,13,14,15,17,18,19,21,22,23,24,26,27,28,29,30,32"
6,Huechuraba,"1,2,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,27,28,29,30,31"
7,Independencia,"1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,28,29,30,32"
8,La Cisterna,"1,2,3,5,6,7,9,10,11,12,13,14,16,17,18,19,21,22,23,24,25,26,27,29,31,32"
9,La Granja,"1,2,3,4,5,6,7,8,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,31,32"
10,La Florida,"1,2,3,4,5,6,7,8,12,13,14,15,16,18,19,20,22,23,24,25,26,27,28,30,31,32"
11,La Pintana,"1,2,3,5,6,7,8,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32"
12,La Reina,"1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,20,23,24,25,26,27,28,29,30,31,32"
13,Las Condes,"1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,19,20,23,24,25,26,27,28,29,30,31"
14,Lo Barnechea,"1,2,3,4,5,6,7,8,9,10,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31"
15,Lo Espejo,"2,3,5,6,7,9,10,11,12,13,14,16,17,18,19,21,22,23,24,25,26,27,29,30,31,32"
16,Lo Prado,"1,3,4,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,24,26,27,28,29,30,31,32"
17,Macul,"1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,18,20,22,23,24,25,26,27,28,30,31,32"
18,Maipu,"2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,24,25,26,27,28,29,30,31,32"
19,Nunoa,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,18,20,23,24,25,26,27,28,30,32"
20,Pedro Aguirre Cerda,"2,3,4,6,7,9,10,11,12,13,14,16,17,18,19,21,22,23,24,25,26,27,29,30,32"
21,Penalolen,"1,2,3,4,5,6,7,8,9,11,14,15,16,18,20,22,23,24,25,26,27,28,29,30,31,32"
22,Providencia,"1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,20,21,23,24,25,27,28,29,30"
23,Pudahuel,"1,3,4,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,25,26,28,29,30,31,32"
24,Quilicura,"1,2,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,25,26,28,29,30,31,32"
25,Quinta Normal,"1,3,4,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,26,28,29,30,32"
26,Recoleta,"1,2,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,27,28,29,30"
27,Renca,"1,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,26,28,29,30,31,32"
28,San Miguel,"1,2,3,4,5,6,7,9,10,11,12,13,14,16,17,18,19,21,22,23,24,25,26,27,32"
29,San Joaquin,"1,2,3,4,5,6,7,8,11,12,13,14,15,16,18,20,21,22,23,24,25,26,27,32"
30,San Ramon,"1,2,3,5,6,7,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,31,32"
31,Santiago,"1,2,3,4,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,30,32"
32,Vitacura,"1,2,3,4,5,7,8,9,10,11,12,15,16,17,18,19,20,21,23,24,25,27,28,29,30,31"
