,lat,long
1,"-33.4833333","-70.7"
2,"-33.416667","-70.716667"
3,"-33.35","-70.616667"
4,"-33.566667","-70.7"
5,"-33.451944","-70.678889"
6,"-33.35","-70.666667"
7,"-33.416667","-70.633333"
8,"-33.534833","-70.664056"
10,"-33.55","-70.566667"
9,"-33.543056","-70.631944"
11,"-33.583333","-70.616667"
12,"-33.45","-70.55"
13,"-33.416667","-70.583333"
14,"-33.35","-70.516667"
15,"-33.533333","-70.716667"
16,"-33.433333","-70.716667"
17,"-33.5","-70.566667"
18,-33.516667,"-70.766667"
19,"-33.466667","-70.6"
20,"-33.466667","-70.633333"
21,"-33.483333","-70.533333"
22,"-33.433333","-70.616667"
23,"-33.433333","-70.716667"
24,"-33.366667","-70.75"
25,"-33.45","-70.7"
26,"-33.416667","-70.65"
27,"-33.4","-70.733333"
29,"-33.5","-70.616667"
28,"-33.5","-70.666667"
30,"-33.54279","-70.64383"
31,"-33.45","-70.666667"
32,"-33.4","-70.6"
